Title;Type;Premiere;Genre;Watchtime
Lucifer;TV Show;2016;Superhero;84400000
Shahmaran;TV Show;2023;Fantasy;83600000
Breaking Bad;TV Show;2008;Crime;83200000
The Last Kingdom: Seven Kings Must Die;Movie;2023;History;83200000
Selling Sunset;TV Show;2019;Reality-Show;82800000
Cocomelon;TV Show;2020;Animation;82500000
Suits;TV Show;2011;Drama;82500000
Sam & Cat;TV Show;2013;Comedy;82400000
Gilmore Girls;TV Show;2000;Drama;82100000
Sonic Prime;TV Show;2022;Animation;82100000
Peppa Pig;TV Show;2004;Animation;81800000
Manifest;TV Show;2018;Thriller;81700000
Roald Dahl's Matilda the Musical;Movie;2022;Musical;81000000
Better Call Saul;TV Show;2015;Crime;80800000
Sing;Movie;2016;Animation;80500000
Fighting Spirit;TV Show;2000;Animation;80300000
All Quiet on the Western Front;Movie;2022;War;80000000
Hasta el cielo: La serie;TV Show;2023;Crime;79700000
Alpha Males;TV Show;2022;Comedy;78200000
Record of Ragnarok;TV Show;2021;Animation;78200000
Chupa;Movie;2023;Adventure;77800000
Stranger Things;TV Show;2016;Thriller;77800000
PAW Patrol: The Movie;Movie;2021;Animation;77200000
Sing 2;Movie;2021;Animation;76600000
The Crown;TV Show;2016;History;76300000
Next in Fashion;TV Show;2020;Reality-Show;75700000
Gilmore Girls;TV Show;2000;Drama;75200000
Lucifer;TV Show;2016;Superhero;75200000
The Boss Baby;Movie;2017;Animation;75100000
Treason;TV Show;2022;Crime;74300000
Trolls;Movie;2016;Animation;73400000
Blood Ties;TV Show;2022;Drama;73300000
Money Heist;TV Show;2017;Action;73100000
Rough Diamonds;TV Show;2023;Crime;72800000
Vincenzo;TV Show;2021;Action;72800000
The Walking Dead;TV Show;2010;Horror;72200000
The Witcher;TV Show;2019;Fantasy;72200000
Gabby's Dollhouse;TV Show;2021;Animation;71600000
The Walking Dead;TV Show;2010;Horror;71600000
Carrossel;TV Show;2012;Drama;71300000
Gilmore Girls;TV Show;2000;Drama;71300000
Red Rose;TV Show;2022;Drama;71100000
Fauda;TV Show;2015;Action;71000000
New Amsterdam;TV Show;2018;Drama;70600000
Gilmore Girls;TV Show;2000;Drama;69900000
Gilmore Girls;TV Show;2000;Drama;69800000
The Blacklist;TV Show;2013;Crime;69700000
Divorce Attorney Shin;TV Show;2023;Drama;69500000
Stranger Things;TV Show;2016;Thriller;69200000
Hometown Cha-Cha-Cha;TV Show;2021;Comedy;69000000
Love Is Blind;TV Show;2020;Reality-Show;68900000
Kill Boksoon;Movie;2023;Thriller;68500000
The Thundermans;TV Show;2013;Science Fiction;68500000
The Flash;TV Show;2014;Superhero;68200000
Red Notice;Movie;2021;Action;68100000
Henry Danger;TV Show;2014;Comedy;67800000
The Queen of Flow;TV Show;2018;Drama;67800000
The Walking Dead;TV Show;2010;Horror;67700000
Viking Wolf;Movie;2022;Horror;67500000
Designated Survivor;TV Show;2016;Action;67200000
Bebefinn;TV Show;2022;;67100000
Hotel Transylvania 2;Movie;2015;Animation;67000000
Stranger Things;TV Show;2016;Thriller;67000000
Masha and the Bear;TV Show;2009;Animation;66700000
Outlander;TV Show;2014;Drama;66500000
Grizzy & the Lemmings;TV Show;2016;Animation;66000000
Single?s Inferno;TV Show;2021;Reality-Show;65900000
The Witcher: Blood Origin;TV Show;2022;Fantasy;65300000
The Nurse;TV Show;2023;Crime;65200000
The Watcher;TV Show;2022;Thriller;64400000
Jumanji: The Next Level;Movie;2019;Adventure;64300000
Suits;TV Show;2011;Drama;64200000
Gilmore Girls;TV Show;2000;Drama;63900000
Terzi;TV Show;2023;Thriller;63900000
All American;TV Show;2018;Drama;63700000
Peppa Pig;TV Show;2004;Animation;63700000
The Blacklist;TV Show;2013;Crime;63500000
Dahmer ? Monster: The Jeffrey Dahmer Story;TV Show;2022;Crime;63500000
Narvik;Movie;2022;War;63100000
Home;Movie;2015;Animation;62800000
The Sea Beast;Movie;2022;Animation;62700000
The Walking Dead;TV Show;2010;Horror;62300000
Harry & Meghan;TV Show;2022;Documentary;62000000
The Walking Dead;TV Show;2010;Horror;62000000
My Dad the Bounty Hunter;TV Show;2023;Animation;61800000
Dog Gone;Movie;2023;Drama;61600000
Maid;TV Show;2021;Drama;61500000
Pasi?n de gavilanes;TV Show;2003;Drama;61500000
A Man Called Otto;Movie;2022;Drama;61300000
Peaky Blinders;TV Show;2013;Drama;61100000
Victorious;TV Show;2010;Comedy;61100000
Never Have I Ever;TV Show;2020;Comedy;61000000
THE DAYS;TV Show;2023;Drama;60800000
La primera vez;TV Show;2023;Drama;60600000
Unseen;TV Show;2023;Crime;60100000
Narcos;TV Show;2015;Drama;59900000
The Walking Dead;TV Show;2010;Horror;59800000
Madoff: The Monster of Wall Street;TV Show;2023;Documentary;59600000
The Witcher;TV Show;2019;Fantasy;59300000
Young Lady and Gentleman;TV Show;2021;Comedy;58500000
Sky Rojo;TV Show;2021;Crime;58500000
Miraculous: Tales of Ladybug & Cat Noir;TV Show;2015;Animation;58300000
Never Have I Ever;TV Show;2020;Comedy;58300000
The Gray Man;Movie;2022;Action;58300000
S.W.A.T.;TV Show;2017;Crime;57900000
One Piece Episode of East Blue;Movie;2017;Animation;57800000
Brooklyn Nine-Nine;TV Show;2013;Comedy;57500000
New Amsterdam;TV Show;2018;Drama;57500000
Workin' Moms;TV Show;2017;Comedy;57500000
Barbie: Life in the Dreamhouse;TV Show;2012;Animation;57400000
The Walking Dead;TV Show;2010;Horror;57400000
The Blacklist;TV Show;2013;Crime;57000000
The Sandman;TV Show;2022;Superhero;56700000
True Spirit;Movie;2023;Adventure;56700000
Cocomelon;TV Show;2020;Animation;56600000
Gilmore Girls;TV Show;2000;Drama;56500000
The Strays;Movie;2023;Thriller;56500000
Suits;TV Show;2011;Drama;56400000
The Croods;Movie;2013;Animation;56400000
Grizzy & the Lemmings;TV Show;2016;Animation;56300000
The Empress;TV Show;2022;History;56000000
Matilda;Movie;1996;Comedy;55700000
Outlast;TV Show;2023;Reality-Show;55500000
The Good Doctor;TV Show;2017;Drama;55500000
Cocomelon;TV Show;2020;Animation;55200000
Jane the Virgin;TV Show;2014;Comedy;55200000
The Blacklist;TV Show;2013;Crime;55200000
Vinland Saga;TV Show;2019;Animation;55100000
The Queen of Flow;TV Show;2018;Drama;55000000
Brooklyn Nine-Nine;TV Show;2013;Comedy;54800000
Carinha de Anjo;TV Show;2016;Comedy;54400000
Alias J.J.;TV Show;2017;Drama;54400000
The Circle;TV Show;2020;Reality-Show;54400000
The Ultimatum: Queer Love;TV Show;2023;Reality-Show;53800000
Never Have I Ever;TV Show;2020;Comedy;53700000
Brooklyn Nine-Nine;TV Show;2013;Comedy;53600000
?Que viva M?xico!;Movie;2022;Comedy;53500000
Emily in Paris;TV Show;2020;Drama;53300000
The Last Kingdom;TV Show;2015;History;53300000
