Title;Type;Premiere;Genre;Watchtime
Supernatural;TV Show;2005;Fantasy;16000000
Superstore;TV Show;2015;Comedy;16000000
Arrow;TV Show;2012;Superhero;15900000
Black Mirror;TV Show;2011;Science Fiction;15900000
Scooby Doo! Mystery Incorporated;TV Show;2010;Animation;15900000
Spider-Man 3;Movie;2007;Superhero;15900000
Spirit Rangers;TV Show;2022;Animation;15900000
Spirited Away;Movie;2001;Animation;15900000
The Bureau of Magical Things;TV Show;2018;Fantasy;15900000
The Ultimatum: Marry or Move On;TV Show;2022;Reality-Show;15900000
Vatican Girl: The Disappearance of Emanuela Orlandi;TV Show;2022;Documentary;15900000
WWII in Color: Road to Victory;TV Show;2021;Documentary;15900000
Barbie: Mermaid Power;Movie;2022;Animation;15800000
Cloudy with a Chance of Meatballs;Movie;2009;Animation;15800000
Hell's Paradise;TV Show;2023;Animation;15800000
Rise of Empires: Ottoman;TV Show;2020;History;15800000
Wild Babies;TV Show;2022;Documentary;15800000
Bake Squad;TV Show;2021;Reality-Show;15700000
El Camino: A Breaking Bad Movie;Movie;2019;Crime;15700000
If Only;TV Show;2022;Drama;15700000
LEGO Ninjago: Secrets of the Forbidden Spinjitzu;TV Show;2019;Animation;15700000
Polar;Movie;2019;Action;15700000
Something in the Rain;TV Show;2018;Drama;15700000
The Kissing Booth 3;Movie;2021;Comedy;15700000
Top Boy;TV Show;2019;Crime;15700000
An Action Hero;Movie;2022;Action;15600000
Free Rein;TV Show;2017;Drama;15600000
Mowgli: Legend of the Jungle;Movie;2018;Adventure;15600000
To All the Boys: P.S. I Still Love You;Movie;2020;Romance;15500000
Undercover Law;TV Show;2018;Drama;15500000
Wu Assassins;TV Show;2019;Action;15500000
Beyblade Burst Turbo;TV Show;2016;Animation;15500000
Big Mouth;TV Show;2017;Animation;15500000
Catching Killers;TV Show;2021;Documentary;15500000
I Came By;Movie;2022;Crime;15500000
My Hero Academia;TV Show;2016;Animation;15500000
The Mist;TV Show;2017;Horror;15500000
Love Island;TV Show;2019;Reality-Show;15400000
Monster;TV Show;2004;Animation;15400000
My Little Pony: A New Generation;Movie;2021;Animation;15400000
On My Block;TV Show;2018;Comedy;15400000
Riddick;Movie;2013;Science Fiction;15400000
Bimilui Soop;TV Show;2017;Crime;15400000
The Godfather;Movie;1972;Drama;15400000
The Kingdom;Movie;2007;Action;15400000
Abduction;Movie;2011;Action;15300000
Disenchantment;TV Show;2018;Animation;15300000
Nicky Ricky Dicky & Dawn;TV Show;2014;Comedy;15300000
Persuasion;Movie;2022;Drama;15300000
The Lord of the Rings: The Fellowship of the Ring;Movie;2001;Fantasy;15300000
The OA;TV Show;2016;Thriller;15300000
Arcane;TV Show;2021;Animation;15200000
Fuller House;TV Show;2016;Comedy;15200000
Locke & Key;TV Show;2020;Superhero;15200000
Riverdale;TV Show;2017;Superhero;15200000
Superstore;TV Show;2015;Comedy;15200000
The Son;Movie;2022;Drama;15200000
Who Rules The World;TV Show;2022;Fantasy;15200000
Young Sheldon;TV Show;2017;Comedy;15200000
47 Ronin;Movie;2013;Fantasy;15100000
Barbie: Dreamhouse Adventures;TV Show;2018;Animation;15100000
Devotion;Movie;2022;War;15100000
He's All That;Movie;2021;Comedy;15100000
The Mummy;Movie;1999;Adventure;15100000
365 Days : This Day;Movie;2022;Romance;15000000
Falling Into Your Smile;TV Show;2021;Comedy;15000000
Fury;Movie;2014;War;15000000
JoJo's Bizarre Adventure;TV Show;2012;Animation;15000000
Supernatural;TV Show;2005;Fantasy;15000000
To the Lake;TV Show;2019;Science Fiction;15000000
Transformers;Movie;2007;Science Fiction;15000000
G.I. Joe: Retaliation;Movie;2013;Action;14900000
H2O: Just Add Water;TV Show;2006;Drama;14900000
Octonauts: Above & Beyond;TV Show;2021;Animation;14900000
Our Great National Parks;TV Show;2022;Documentary;14900000
The Boss Baby: Back in Business;TV Show;2018;Animation;14900000
Storks;Movie;2016;Animation;14800000
Below Deck;TV Show;2013;Reality-Show;14700000
Clickbait;TV Show;2021;Crime;14700000
Eat Pray Love;Movie;2010;Drama;14700000
Gridiron Gang;Movie;2006;Crime;14700000
Gumraah;Movie;2023;Crime;14700000
Little Women;Movie;2019;Drama;14700000
Love Alarm;TV Show;2019;Drama;14700000
Resurrection: Ertugrul;TV Show;2014;Drama;14700000
The Ranch;TV Show;2016;Comedy;14700000
The Playlist;TV Show;2022;Drama;14600000
Vortex;TV Show;2023;Crime;14600000
Chilling Adventures of Sabrina;TV Show;2018;Fantasy;14600000
John Wick: Chapter 3 ? Parabellum;Movie;2019;Action;14600000
Jungle Beat: The Movie;Movie;2020;Animation;14600000
Love Never Lies: Poland;TV Show;2022;Reality-Show;14600000
Rick and Morty;TV Show;2013;Animation;14600000
Barbarians;TV Show;2020;History;14500000
Gods of Egypt;Movie;2016;Adventure;14500000
Malverde: The Patron Saint;TV Show;2021;Crime;14500000
Rick and Morty;TV Show;2013;Animation;14500000
Sins of Our Mother;TV Show;2022;Documentary;14500000
The Cuphead Show!;TV Show;2022;Animation;14500000
The Loud House Movie;Movie;2021;Animation;14500000
The Takeover;Movie;2022;Crime;14500000
To All the Boys: Always and Forever;Movie;2021;Romance;14500000
Troy: Fall of a City;TV Show;2018;History;14500000
The Willoughbys;Movie;2020;Animation;14400000
Go! Live Your Way;TV Show;2019;Comedy;14400000
Hatfields & McCoys;TV Show;2012;Western;14400000
Lost in Space;TV Show;2018;Science Fiction;14400000
Medieval;Movie;2022;History;14400000
Outside the Wire;Movie;2021;Science Fiction;14400000
Bake Off: The Professionals;TV Show;2018;Reality-Show;14400000
The Legend of Korra;TV Show;2012;Fantasy;14400000
The Originals;TV Show;2013;Fantasy;14400000
Casados con Hijos;TV Show;2005;Comedy;14300000
Khakee: The Bihar Chapter;TV Show;2022;Crime;14300000
Little Man;Movie;2006;Comedy;14300000
Mission: Impossible - Rogue Nation;Movie;2015;Action;14300000
Acero Woman of Steel;TV Show;2014;Crime;14300000
The Equalizer 2;Movie;2018;Action;14300000
The Full-Time Wife Escapist;TV Show;2016;Comedy;14300000
Awake;Movie;2021;Science Fiction;14200000
Black Clover;TV Show;2017;Animation;14200000
Girl from Nowhere;TV Show;2018;Drama;14200000
Hanna;Movie;2011;Action;14200000
Harry Potter and the Deathly Hallows: Part 1;Movie;2010;Fantasy;14200000
Interstellar;Movie;2014;Science Fiction;14200000
Loo Loo Kids Johny & Friends Musical Adventure;TV Show;2018;Animation;14200000
Lupin;TV Show;2021;Crime;14200000
Mission: Impossible - Ghost Protocol;Movie;2011;Action;14200000
Romantic Killer;TV Show;2022;Animation;14200000
The Smurfs;Movie;2011;Animation;14200000
The Society;TV Show;2019;Science Fiction;14200000
American Gangster;Movie;2007;Biography;14100000
Barbarians;TV Show;2020;History;14100000
DI4RI;TV Show;2022;Comedy;14100000
Gladiator;Movie;2000;History;14100000
InuYasha;TV Show;2000;Animation;14100000
Maid in Manhattan;Movie;2002;Romance;14100000
Rookie Historian Goo Hae-Ryung;TV Show;2019;History;14100000
The Epic Tales of Captain Underpants;TV Show;2018;Animation;14100000
The Twilight Saga: New Moon;Movie;2009;Fantasy;14100000
The Unforgivable;Movie;2021;Drama;14100000
Baby Driver;Movie;2017;Action;14000000
Bright;Movie;2017;Fantasy;14000000
Dragons: Race to the Edge;TV Show;2015;Family;14000000
Elite;TV Show;2018;Crime;14000000
Good Witch;TV Show;2015;Comedy;14000000
Poong The Joseon Psychiatrist;TV Show;2022;Drama;14000000
Shadowhunters;TV Show;2016;Horror;14000000
The Chronicles of Riddick;Movie;2004;Science Fiction;14000000
The Upshaws;TV Show;2021;Comedy;14000000
G.I. Joe: The Rise of Cobra;Movie;2009;Action;13900000
Ingobernable;TV Show;2017;Drama;13900000
Insatiable;TV Show;2018;Drama;13900000
Jack Reacher: Never Go Back;Movie;2016;Action;13900000
Lookism;TV Show;2022;Animation;13900000
Missing: The Other Side;TV Show;2020;Thriller;13900000
Private Lesson;Movie;2022;Comedy;13900000
The Flash;TV Show;2014;Superhero;13900000
Top Secret UFO Projects: Declassified;TV Show;2021;Documentary;13900000
Big Mouth;TV Show;2017;Animation;13900000
Backstreet Rookie;TV Show;2020;Drama;13800000
Clean with Passion for Now;TV Show;2018;Drama;13800000
Dragons: Rescue Riders;TV Show;2019;Animation;13800000
In the Dark;TV Show;2019;Comedy;13800000
Love in the Villa;Movie;2022;Comedy;13800000
Paradise PD;TV Show;2018;Animation;13800000
Rainbow Ruby;TV Show;2016;Animation;13800000
Rick and Morty;TV Show;2013;Animation;13800000
Supernatural;TV Show;2005;Fantasy;13800000
The Choice;Movie;2016;Romance;13800000
The Great British Bake Off;TV Show;2010;Reality-Show;13800000
Matt Wright's Wild Territory;TV Show;2022;Documentary;13800000
Elite;TV Show;2018;Crime;13700000
First Kill;TV Show;2022;Fantasy;13700000
Formula 1: Drive to Survive;TV Show;2019;Documentary;13700000
Grace and Frankie;TV Show;2015;Comedy;13700000
One of Us Is Lying;TV Show;2021;Crime;13700000
Patriots Day;Movie;2016;Drama;13700000
The Dilemma;Movie;2011;Drama;13700000
The Silence;Movie;2019;Horror;13700000
The Volcano: Rescue from Whakaari;Movie;2022;Documentary;13700000
Hunter x Hunter;TV Show;2011;Animation;13600000
John Wick;Movie;2014;Action;13600000
Lies and Deceit;TV Show;2020;Drama;13600000
Love;TV Show;2016;Comedy;13600000
Noise;Movie;2022;Drama;13600000
One Spring Night;TV Show;2019;Drama;13600000
The Equalizer;Movie;2014;Action;13600000
The Forgotten Battle;Movie;2021;War;13600000
The Platform;Movie;2020;Science Fiction;13600000
Big Mouth;TV Show;2017;Animation;13600000
BoJack Horseman;TV Show;2014;Animation;13600000
Finding 'Ohana;Movie;2021;Adventure;13600000
Formula 1: Drive to Survive;TV Show;2019;Documentary;13600000
Get Out;Movie;2017;Horror;13600000
Abby Hatcher;TV Show;2018;Animation;13500000
Arrow;TV Show;2012;Superhero;13500000
Baki;TV Show;2018;Animation;13500000
The American Barbecue Showdown;TV Show;2020;Reality-Show;13500000
Glow Up: Britain's Next Make-Up Star;TV Show;2019;Reality-Show;13500000
House of Cards;TV Show;2013;Drama;13500000
At Eighteen;TV Show;2019;Drama;13500000
Once Upon a Small Town;TV Show;2022;Comedy;13500000
Pets United;Movie;2019;Animation;13500000
Phantom Pups;TV Show;2022;Animation;13500000
Pixels;Movie;2015;Science Fiction;13500000
SAS: Red Notice;Movie;2021;Action;13500000
Stay Close;TV Show;2021;Drama;13500000
The Order;TV Show;2019;Fantasy;13500000
Too Hot to Handle;TV Show;2020;Reality-Show;13500000
What/If;TV Show;2019;Drama;13500000
Grace and Frankie;TV Show;2015;Comedy;13400000
Her Private Life;TV Show;2019;Comedy;13400000
Kuroko's Basketball;TV Show;2012;Animation;13400000
The Hunt;TV Show;2019;Drama;13400000
Rick and Morty;TV Show;2013;Animation;13400000
Single?s Inferno;TV Show;2021;Reality-Show;13400000
Supernatural;TV Show;2005;Fantasy;13400000
Superstore;TV Show;2015;Comedy;13400000
Survivor;TV Show;2000;Reality-Show;13400000
100 Dias Para Enamorarnos;TV Show;2020;Comedy;13400000
Boo Bitch;TV Show;2022;Comedy;13400000
Captain Underpants: The First Epic Movie;Movie;2017;Animation;13400000
V Wars;TV Show;2019;Science Fiction;13300000
Action Pack;TV Show;2022;Animation;13300000
Baki Hanma;TV Show;2021;Animation;13300000
Barbie: Dreamhouse Adventures;TV Show;2018;Animation;13300000
Blindspot;TV Show;2015;Crime;13300000
Brawl in Cell Block 99;Movie;2017;Thriller;13300000
Dr. Seuss' The Cat in the Hat;Movie;2003;Fantasy;13300000
Galinha Pintadinha Mini;TV Show;2017;Animation;13300000
Gecko's Garage 3D;TV Show;2020;;13300000
Kiss Kiss!;Movie;2023;Comedy;13300000
Madagascar: Escape 2 Africa;Movie;2008;Animation;13300000
Perfume: The Story of a Murderer;Movie;2006;Drama;13300000
Sin senos s? hay para?so;TV Show;2016;Crime;13300000
Tyler Perry's I Can Do Bad All By Myself (The Play);Movie;2005;Comedy;13300000
UglyDolls;Movie;2019;Animation;13300000
Alexa & Katie;TV Show;2018;Comedy;13200000
Dark;TV Show;2017;Thriller;13200000
Dirty Grandpa;Movie;2016;Comedy;13200000
El Principe;TV Show;2014;Action;13200000
Morphle;TV Show;2019;Animation;13200000
Peter Rabbit 2: The Runaway;Movie;2021;Adventure;13200000
PJ Masks;TV Show;2015;Animation;13200000
Rise of the Guardians;Movie;2012;Animation;13200000
Scooby Doo! Mystery Incorporated;TV Show;2010;Animation;13200000
Workin' Moms;TV Show;2017;Comedy;13200000
The Tournament;Movie;2009;Horror;13100000
The Wind Blows;TV Show;2019;Drama;13100000
Trial By Fire;TV Show;2023;Crime;13100000
Baki Hanma;TV Show;2021;Animation;13100000
H2O: Just Add Water;TV Show;2006;Drama;13100000
Van Helsing;TV Show;2016;Animation;13100000
Hunter Killer;Movie;2018;Action;13100000
iCarly;TV Show;2007;Comedy;13100000
Rick and Morty;TV Show;2013;Animation;13100000
Talking Tom and Friends;TV Show;2014;Animation;13100000
12 Strong;Movie;2018;War;13000000
Barracuda Queens;TV Show;2023;Drama;13000000
Chickenhare and the Hamster of Darkness;Movie;2022;Animation;13000000
Dragons: Race to the Edge;TV Show;2015;Family;13000000
Northern Rescue;TV Show;2019;Drama;13000000
Pocoyo;TV Show;2005;Animation;13000000
Power Rangers;Movie;2017;Science Fiction;13000000
The Gentlemen;Movie;2020;Crime;13000000
The King;Movie;2019;History;13000000
Things Heard & Seen;Movie;2021;Horror;13000000
Kathal;Movie;2023;Comedy;12900000
Barrio Cuba;TV Show;2001;Drama;12900000
Love and Monsters;Movie;2021;Adventure;12900000
Spinning Out;TV Show;2020;Drama;12900000
Supernatural;TV Show;2005;Fantasy;12900000
The Chalk Line;Movie;2022;Horror;12900000
Forsvinningen - Lorenskog 31. oktober 2018;TV Show;2022;Crime;12900000
The Real Housewives of Beverly Hills;TV Show;2010;Reality-Show;12900000
The Beauty Inside;TV Show;2018;Drama;12900000
Code 8;Movie;2019;Science Fiction;12900000
Community Squad;TV Show;2023;Comedy;12900000
Dragons: Rescue Riders;TV Show;2019;Animation;12900000
Heartland;TV Show;2007;Drama;12900000
Descendants of the Sun;TV Show;2016;Drama;12800000
Elite;TV Show;2018;Crime;12800000
Forged in Fire;TV Show;2015;Reality-Show;12800000
Henry Danger;TV Show;2014;Comedy;12800000
Royalteen: Princess Margrethe;Movie;2023;Drama;12800000
Stolen Away;TV Show;2020;Drama;12700000
Surviving Summer;TV Show;2022;Drama;12700000
Bulgasal: Immortal Souls;TV Show;2021;Fantasy;12700000
Fast & Furious Presents: Hobbs & Shaw;Movie;2019;Action;12700000
Good Witch;TV Show;2015;Comedy;12700000
InuYasha;TV Show;2000;Animation;12700000
Midnight Mass;TV Show;2021;Horror;12700000
Rainbow High;TV Show;2020;Animation;12700000
Crime Scene: The Texas Killing Fields;TV Show;2022;Documentary;12600000
Felon;Movie;2008;Drama;12600000
Flight;Movie;2012;Thriller;12600000
JoJo's Bizarre Adventure: Diamond Is Unbreakable - Chapter 1;Movie;2017;Action;12600000
Larva;TV Show;2011;Animation;12600000
Naruto;TV Show;2002;Animation;12600000
Scarface;Movie;1983;Thriller;12600000
The Innocent;TV Show;2021;Crime;12600000
The Last Mercenary;Movie;2021;Action;12600000
Touch Your Heart;TV Show;2019;Drama;12600000
Jack Reacher;Movie;2012;Action;12500000
Barbie: Dreamhouse Adventures;TV Show;2018;Animation;12500000
Black Lightning;TV Show;2018;Superhero;12500000
Bloodline;TV Show;2015;Drama;12500000
Fall;Movie;2022;Thriller;12500000
LEGO Ninjago: Secrets of the Forbidden Spinjitzu;TV Show;2019;Animation;12500000
Fractured;Movie;2019;Thriller;12500000
Henry Danger;TV Show;2014;Comedy;12500000
In the Shadow of the Moon;Movie;2019;Crime;12500000
LEGO Ninjago: Masters of Spinjitzu;TV Show;2012;Animation;12500000
Love in the Moonlight;TV Show;2016;History;12500000
National Security;Movie;2003;Action;12500000
Spider-Man: Into the Spider-Verse;Movie;2018;Superhero;12500000
The Legend of Korra;TV Show;2012;Fantasy;12500000
The Mummy;Movie;2017;Adventure;12500000
This Is 40;Movie;2012;Comedy;12500000
Total Drama Island;TV Show;2007;Animation;12500000
All American: Homecoming;TV Show;2022;Drama;12400000
Black Summer;TV Show;2019;Horror;12400000
Bread Barbershop;TV Show;2019;Animation;12400000
Bridge to Terabithia;Movie;2007;Fantasy;12400000
Den of Thieves;Movie;2018;Action;12400000
Easy A;Movie;2010;Comedy;12400000
Free Rein;TV Show;2017;Drama;12400000
Gifted Hands: The Ben Carson Story;Movie;2009;Biography;12400000
Harry Potter and the Deathly Hallows: Part 2;Movie;2011;Fantasy;12400000
Jujutsu Kaisen;TV Show;2020;Animation;12400000
One of Us Is Lying;TV Show;2021;Crime;12400000
Selling Sunset;TV Show;2019;Reality-Show;12400000
The Chestnut Man;TV Show;2021;Crime;12400000
The Mindy Project;TV Show;2012;Comedy;12400000
The Week Of;Movie;2018;Comedy;12400000
Wonder;Movie;2017;Drama;12400000
Danger Force;TV Show;2020;Comedy;12300000
Elite;TV Show;2018;Crime;12300000
Family Reunion;TV Show;2019;Comedy;12300000
Heartland;TV Show;2007;Drama;12300000
Love Village;TV Show;2023;Reality-Show;12300000
Married at First Sight;TV Show;2014;Reality-Show;12300000
On My Block;TV Show;2018;Comedy;12300000
Takers;Movie;2010;Thriller;12300000
Below Deck;TV Show;2013;Reality-Show;12300000
100 Days My Prince;TV Show;2018;Drama;12200000
A Man of Action;Movie;2022;Drama;12200000
A Series of Unfortunate Events;TV Show;2017;Comedy;12200000
AJ and the Queen;TV Show;2020;Comedy;12200000
Beyond the Universe;Movie;2022;Comedy;12200000
Cirkus;Movie;2022;Comedy;12200000
Daybreak;TV Show;2019;Horror;12200000
Intersection;TV Show;2016;Drama;12200000
Mighty Morphin Power Rangers: Once & Always;Movie;2023;Family;12200000
Mr. Harrigan's Phone;Movie;2022;Horror;12200000
Old;Movie;2021;Thriller;12200000
One-Punch Man;TV Show;2015;Animation;12200000
Rainbow High;TV Show;2020;Animation;12200000
Spider-Man: Homecoming;Movie;2017;Superhero;12200000
The Children's Kingdom;Movie;2016;Family;12200000
The Garfield Show;TV Show;2009;Animation;12200000
The Twilight Saga: Breaking Dawn - Part 1;Movie;2011;Fantasy;12200000
The Originals;TV Show;2013;Fantasy;12100000
The Ridiculous 6;Movie;2015;Comedy;12100000
The Snowman;Movie;2017;Crime;12100000
The Twilight Saga: Eclipse;Movie;2010;Fantasy;12100000
Travelers;TV Show;2016;Science Fiction;12100000
Aqu? no hay quien viva;TV Show;2003;Comedy;12100000
Big Mouth;TV Show;2017;Animation;12100000
Dragons: Race to the Edge;TV Show;2015;Family;12100000
Drink Masters;TV Show;2022;Reality-Show;12100000
Supernatural;TV Show;2005;Fantasy;12100000
The Babysitter: Killer Queen;Movie;2020;Horror;12100000
Hubie Halloween;Movie;2020;Comedy;12000000
Kung Fu Panda;Movie;2008;Animation;12000000
Mili;Movie;2022;Thriller;12000000
Monsters vs Aliens;Movie;2009;Animation;12000000
On My Block;TV Show;2018;Comedy;12000000
Oscar's Oasis;TV Show;2010;Animation;12000000
Pale Moon;TV Show;2023;Drama;12000000
Snowpiercer;TV Show;2020;Science Fiction;12000000
The Age of Adaline;Movie;2015;Romance;12000000
The Amazing Spider-Man;Movie;2012;Superhero;12000000
The Baby-Sitters Club;TV Show;2020;Comedy;12000000
The Longest Night;TV Show;2022;Crime;12000000
Carter;Movie;2022;Action;11900000
Do Do Sol Sol La La Sol;TV Show;2020;Comedy;11900000
Galinha Pintadinha Mini;TV Show;2017;Animation;11900000
Gigantosaurus;TV Show;2019;Animation;11900000
Heartland;TV Show;2007;Drama;11900000
Heartland;TV Show;2007;Drama;11900000
Ikebukuro West Gate Park;TV Show;2000;Drama;11900000
John Mulaney: Baby J;Movie;2023;Stand-Up;11900000
Love;TV Show;2016;Comedy;11900000
No Escape;Movie;2015;Thriller;11900000
The Octonauts;TV Show;2010;Animation;11900000
Rurouni Kenshin: The Beginning;Movie;2021;Action;11900000
A Sogra Que Te Pariu;TV Show;2022;Comedy;11900000
SpongeBob SquarePants;TV Show;1999;Animation;11900000
The Letter for the King;TV Show;2020;Fantasy;11900000
The Woman in the House Across the Street from the Girl in the Window;TV Show;2022;Crime;11900000
Tidelands;TV Show;2018;Fantasy;11900000
20th Century Girl;Movie;2022;Drama;11900000
BASTARD? -Heavy Metal Dark Fantasy-;TV Show;2022;Animation;11900000
Bol?var: Una lucha admirable;TV Show;2019;History;11900000
Buying Beverly Hills;TV Show;2022;Reality-Show;11900000
Car Masters: Rust to Riches;TV Show;2018;Reality-Show;11900000
Cine Gibi: O Filme;Movie;2004;Animation;11800000
Good Witch;TV Show;2015;Comedy;11800000
Green Eggs and Ham;TV Show;2019;Animation;11800000
Keeping Up with the Kardashians;TV Show;2007;Reality-Show;11800000
72 Dangerous Animals: Latin America;TV Show;2017;Documentary;11800000
Arrow;TV Show;2012;Superhero;11800000
Battleship;Movie;2012;Science Fiction;11800000
London Has Fallen;Movie;2016;Action;11800000
Lottie Dottie Chicken;TV Show;2018;Animation;11800000
One More Time;Movie;2023;Comedy;11800000
Pepsi Where's My Jet?;TV Show;2022;Documentary;11800000
Rugal;TV Show;2020;Thriller;11800000
Self Made: Inspired by the Life of Madam C.J. Walker;TV Show;2020;Drama;11800000
The Last Days of American Crime;Movie;2020;Science Fiction;11800000
Moneyball;Movie;2011;Drama;11700000
Ava;Movie;2020;Thriller;11700000
Barbie: Dolphin Magic;Movie;2017;Animation;11700000
Blade Runner 2049;Movie;2017;Science Fiction;11700000
Catching Killers;TV Show;2021;Documentary;11700000
Dark;TV Show;2017;Thriller;11700000
Gotham;TV Show;2014;Superhero;11700000
Intrusion;Movie;2021;Thriller;11700000
iNumber Number: Jozi Gold;Movie;2023;Crime;11700000
Let's Get Divorced;TV Show;2023;Comedy;11700000
Shadowhunters;TV Show;2016;Horror;11700000
Siren: Survive the Island;TV Show;2023;Reality-Show;11700000
Un bandido honrado;TV Show;2019;Comedy;11700000
The Lord of the Rings: The Two Towers;Movie;2002;Fantasy;11700000
The Ranch;TV Show;2016;Comedy;11700000
The Trial;TV Show;2019;Crime;11700000
Uncle From Another World;TV Show;2022;Animation;11700000
Free Rein;TV Show;2017;Drama;11600000
Glitch;TV Show;2022;Science Fiction;11600000
Hi Bye Mama!;TV Show;2020;Drama;11600000
LEGO Ninjago: Dragons Rising;TV Show;2023;Animation;11600000
My Roommate Is a Gumiho;TV Show;2021;Comedy;11600000
No Manches Frida;Movie;2016;Comedy;11600000
One Piece;TV Show;1999;Animation;11600000
Open Season;Movie;2006;Animation;11600000
Operation Finale;Movie;2018;Drama;11600000
The Mindy Project;TV Show;2012;Comedy;11600000
Too Hot to Handle;TV Show;2020;Reality-Show;11600000
7 donne e un mistero;Movie;2021;Comedy;11600000
Big Mouth;TV Show;2017;Animation;11600000
Irmandade;TV Show;2019;Crime;11600000
Whindersson Nunes: Preaching to the Choir;Movie;2023;Stand-Up;11500000
Young Sheldon;TV Show;2017;Comedy;11500000
Alien TV;TV Show;2020;Animation;11500000
Madre solo hay dos;TV Show;2021;Comedy;11500000
Diary of a Mad Black Woman;Movie;2005;Comedy;11500000
El Principe;TV Show;2014;Action;11500000
Ghost Rider;Movie;2007;Superhero;11500000
Grease;Movie;1978;Musical;11500000
Hunter x Hunter;TV Show;2011;Animation;11500000
Kid-E-Cats;TV Show;2017;Animation;11500000
Leap Year;Movie;2010;Romance;11500000
Love Is Blind: Brazil;TV Show;2021;Reality-Show;11500000
Marco Polo;TV Show;2014;History;11500000
Mean Girls;Movie;2004;Comedy;11500000
One Piece;TV Show;1999;Animation;11500000
Somebody;TV Show;2022;Crime;11500000
Esposa de Aluguel;Movie;2022;Comedy;11500000
Supergirl;TV Show;2015;Superhero;11500000
The Boss Baby: Back in Business;TV Show;2018;Animation;11500000
The Curse of Bridge Hollow;Movie;2022;Horror;11500000
The Do-Over;Movie;2016;Comedy;11500000
The Perfect Mother;TV Show;2022;Crime;11500000
The UnXplained;TV Show;2019;Documentary;11500000
Alexa & Katie;TV Show;2018;Comedy;11400000
American Assassin;Movie;2017;Action;11400000
BattleBots;TV Show;2015;Reality-Show;11400000
Chilling Adventures of Sabrina;TV Show;2018;Fantasy;11400000
Colors of Love;Movie;2021;Romance;11400000
Dragons: Race to the Edge;TV Show;2015;Family;11400000
House of Cards;TV Show;2013;Drama;11400000
Incomplete Life;TV Show;2014;Drama;11400000
Morphle;TV Show;2019;Animation;11400000
Supernatural;TV Show;2005;Fantasy;11400000
The Benchwarmers;Movie;2006;Comedy;11400000
Empress Ki;TV Show;2013;History;11400000
The Grudge;Movie;2019;Horror;11400000
The Kings of the World;Movie;2022;Adventure;11400000
The Lying Life of Adults;TV Show;2023;Drama;11400000
The Parisian Agency: Exclusive Properties;TV Show;2021;Reality-Show;11400000
Xtreme;Movie;2021;Thriller;11400000
Yu-Gi-Oh!;TV Show;1998;Animation;11400000
13 Going On 30;Movie;2004;Comedy;11300000
Arrested Development;TV Show;2003;Comedy;11300000
Beyblade Burst Turbo;TV Show;2016;Animation;11300000
Catch! Teenieping;TV Show;2020;Animation;11300000
Cleo & Cuquin;TV Show;2018;Animation;11300000
I Am Solo;TV Show;2021;Reality-Show;11300000
Queen of Masks;TV Show;2023;Drama;11300000
Sicario;Movie;2015;Crime;11300000
Stromboli;Movie;2022;Drama;11300000
The Fairly OddParents;TV Show;2001;Animation;11300000
The Lost World: Jurassic Park;Movie;1997;Science Fiction;11300000
The Royal Treatment;Movie;2022;Romance;11300000
Madre solo hay dos;TV Show;2021;Comedy;11200000
Devotion a Story of Love and Desire;TV Show;2022;Drama;11200000
Gatta Kusthi;Movie;2022;Drama;11200000
Good Witch;TV Show;2015;Comedy;11200000
Rogue City;Movie;2020;Crime;11200000
SpongeBob SquarePants;TV Show;1999;Animation;11200000
Supernatural;TV Show;2005;Fantasy;11200000
The Blacklist;TV Show;2013;Crime;11200000
True and the Rainbow Kingdom;TV Show;2017;Animation;11200000
Undercover;TV Show;2019;Crime;11200000
18 Again;TV Show;2020;Comedy;11200000
28 Days Haunted;TV Show;2022;Reality-Show;11200000
Abyss;TV Show;2019;Crime;11200000
Be Melodramatic;TV Show;2019;Comedy;11200000
Big Mouth;TV Show;2017;Animation;11200000
21;Movie;2008;Crime;11100000
Another Life;TV Show;2019;Science Fiction;11100000
Behind Every Star;TV Show;2022;Comedy;11100000
BUNK'D;TV Show;2015;Comedy;11100000
Confidential Assignment 2: International;Movie;2022;Action;11100000
End of the Road;Movie;2022;Crime;11100000
Madam Secretary;TV Show;2014;Drama;11100000
Morbius;Movie;2022;Superhero;11100000
The Core;Movie;2003;Science Fiction;11100000
The Hard Way;Movie;2019;Action;11100000
The Lord of the Rings: The Return of the King;Movie;2003;Fantasy;11100000
The Real Housewives of Beverly Hills;TV Show;2010;Reality-Show;11100000
Tiny Pretty Things;TV Show;2020;Drama;11100000
Who Killed Sara?;TV Show;2021;Crime;11100000
Trollhunters: Tales of Arcadia;TV Show;2016;Animation;11000000
Atypical;TV Show;2017;Comedy;11000000
Trollhunters: Tales of Arcadia;TV Show;2016;Animation;11000000
Blindspot;TV Show;2015;Crime;11000000
Grace and Frankie;TV Show;2015;Comedy;11000000
Hotel Transylvania: The Series;TV Show;2017;Animation;11000000
Victim/Suspect;Movie;2023;Documentary;11000000
Yankee;TV Show;2019;Drama;11000000
I Am a Stalker;TV Show;2022;Documentary;11000000
Julie and the Phantoms;TV Show;2020;Comedy;11000000
Larva Island;TV Show;2018;Animation;11000000
October Faction;TV Show;2020;Superhero;11000000
Southpaw;Movie;2015;Sports;11000000
Supernatural;TV Show;2005;Fantasy;11000000
